unix_timestamp,human_timestamp,nodeID,tc1,tc2,millisSinceHeatPulse,soilMoisture,outsideTemp,outsideHumidity
1563433200,7/18/2019 7:0:0,2,20.44998,20.46509,737979,8,-1,-1
1563433203,7/18/2019 7:0:3,2,20.4525,20.46257,740978,8,-1,-1
1563433206,7/18/2019 7:0:6,2,20.45502,20.46509,743978,7,-1,-1
1563433209,7/18/2019 7:0:9,2,20.44746,20.46761,746979,7,-1,-1
1563433212,7/18/2019 7:0:12,2,20.44495,20.46509,749978,7,-1,-1
1563433215,7/18/2019 7:0:15,2,20.44746,20.45753,752978,8,-1,-1
1563433218,7/18/2019 7:0:18,2,20.45502,20.44495,755979,8,-1,-1
1563433221,7/18/2019 7:0:21,2,20.44746,20.45753,758978,8,-1,-1
1563433224,7/18/2019 7:0:24,2,20.42984,20.44998,761978,9,-1,-1
1563433227,7/18/2019 7:0:27,2,20.43236,20.45753,764978,9,-1,-1
1563433230,7/18/2019 7:0:30,2,20.43991,20.43991,767979,8,-1,-1
1563433233,7/18/2019 7:0:33,2,20.43739,20.44243,770978,8,-1,-1
1563433236,7/18/2019 7:0:36,2,20.4248,20.44495,773978,8,-1,-1
1563433239,7/18/2019 7:0:39,2,20.42732,20.44746,776979,8,-1,-1
1563433242,7/18/2019 7:0:42,2,20.42984,20.44495,779978,7,-1,-1
1563433245,7/18/2019 7:0:45,2,20.42229,20.44243,782979,7,-1,-1
1563433248,7/18/2019 7:0:48,2,20.4248,20.46509,785979,7,-1,-1
1563433251,7/18/2019 7:0:51,2,20.43236,20.44243,788978,8,-1,-1
1563433254,7/18/2019 7:0:54,2,20.4248,20.45502,791978,8,-1,-1
1563433257,7/18/2019 7:0:57,2,20.43739,20.44243,794978,8,-1,-1
1563433260,7/18/2019 7:1:0,2,20.4248,20.44998,797979,8,-1,-1
1563433263,7/18/2019 7:1:3,2,20.42732,20.4525,800978,8,-1,-1
1563433266,7/18/2019 7:1:6,2,20.4248,20.44495,803979,8,-1,-1
1563433269,7/18/2019 7:1:9,2,20.43739,20.4525,806979,9,-1,-1
1563433272,7/18/2019 7:1:12,2,20.43991,20.43488,809979,8,-1,-1
1563433275,7/18/2019 7:1:15,2,20.42229,20.45753,812979,8,-1,-1
1563433278,7/18/2019 7:1:18,2,20.42984,20.43991,815979,8,-1,-1
1563433281,7/18/2019 7:1:21,2,20.42229,20.44746,818978,8,-1,-1
1563433284,7/18/2019 7:1:24,2,20.4248,20.44998,821978,8,-1,-1
1563433287,7/18/2019 7:1:27,2,20.42732,20.43739,824979,6,-1,-1
1563433290,7/18/2019 7:1:30,2,20.42984,20.44998,827979,7,-1,-1
