unix_timestamp,human_timestamp,nodeID,tc1,tc2,millisSinceHeatPulse,soilMoisture,outsideTemp,outsideHumidity
1563436800,7/18/2019 8:0:0,2,19.93637,19.94644,737978,7,-1,-1
1563436803,7/18/2019 8:0:3,2,19.92882,19.94392,740978,7,-1,-1
1563436806,7/18/2019 8:0:6,2,19.94644,19.94141,743978,7,-1,-1
1563436809,7/18/2019 8:0:9,2,19.94392,19.94392,746979,7,-1,-1
1563436812,7/18/2019 8:0:12,2,19.93134,19.94644,749978,8,-1,-1
1563436815,7/18/2019 8:0:15,2,19.93385,19.96407,752978,8,-1,-1
1563436818,7/18/2019 8:0:18,2,19.92126,19.94141,755979,8,-1,-1
1563436821,7/18/2019 8:0:21,2,19.93889,19.94392,758978,7,-1,-1
1563436824,7/18/2019 8:0:24,2,19.92126,19.9263,761978,7,-1,-1
1563436827,7/18/2019 8:0:27,2,19.91875,19.93889,764978,6,-1,-1
1563436830,7/18/2019 8:0:30,2,19.92126,19.9263,767978,7,-1,-1
1563436833,7/18/2019 8:0:33,2,19.93385,19.94896,770979,7,-1,-1
1563436836,7/18/2019 8:0:36,2,19.94141,19.9263,773979,7,-1,-1
1563436839,7/18/2019 8:0:39,2,19.92378,19.94392,776978,7,-1,-1
1563436842,7/18/2019 8:0:42,2,19.92126,19.93637,779978,7,-1,-1
1563436845,7/18/2019 8:0:45,2,19.91371,19.93889,782978,7,-1,-1
1563436848,7/18/2019 8:0:48,2,19.90112,19.93134,785978,7,-1,-1
1563436851,7/18/2019 8:0:51,2,19.91371,19.93385,788978,7,-1,-1
1563436854,7/18/2019 8:0:54,2,19.90616,19.92126,791978,7,-1,-1
1563436857,7/18/2019 8:0:57,2,19.91875,19.91875,794978,7,-1,-1
1563436860,7/18/2019 8:1:0,2,19.92126,19.93637,797978,7,-1,-1
1563436863,7/18/2019 8:1:3,2,19.91371,19.91875,800979,6,-1,-1
1563436866,7/18/2019 8:1:6,2,19.91623,19.93134,803979,7,-1,-1
1563436869,7/18/2019 8:1:9,2,19.91875,19.92378,806978,7,-1,-1
1563436872,7/18/2019 8:1:12,2,19.90112,19.93134,809978,8,-1,-1
1563436875,7/18/2019 8:1:15,2,19.91875,19.92378,812979,8,-1,-1
1563436878,7/18/2019 8:1:18,2,19.90112,19.92126,815978,8,-1,-1
1563436881,7/18/2019 8:1:21,2,19.89861,19.92882,818978,8,-1,-1
1563436884,7/18/2019 8:1:24,2,19.91623,19.9263,821979,8,-1,-1
1563436887,7/18/2019 8:1:27,2,19.90868,19.93385,824979,8,-1,-1
1563436890,7/18/2019 8:1:30,2,19.90112,19.9263,827979,8,-1,-1
1563436893,7/18/2019 8:1:33,2,19.90364,19.90868,830979,8,-1,-1
1563436896,7/18/2019 8:1:36,2,19.90112,19.92126,833978,8,-1,-1
1563436899,7/18/2019 8:1:39,2,19.91875,19.92378,836978,8,-1,-1
1563436902,7/18/2019 8:1:42,2,19.90112,19.90616,839979,9,-1,-1
1563436905,7/18/2019 8:1:45,2,19.90364,19.91875,842979,8,-1,-1
1563436908,7/18/2019 8:1:48,2,19.89609,19.93134,845979,9,-1,-1
1563436911,7/18/2019 8:1:51,2,19.89861,19.91875,848978,9,-1,-1
1563436914,7/18/2019 8:1:54,2,19.90112,19.93134,851978,8,-1,-1
1563436917,7/18/2019 8:1:57,2,19.90364,19.92882,854978,8,-1,-1
1563436920,7/18/2019 8:2:0,2,19.89609,19.91119,857978,8,-1,-1
1563436923,7/18/2019 8:2:3,2,19.89861,19.90868,860978,8,-1,-1
1563436926,7/18/2019 8:2:6,2,19.90112,19.91623,863978,7,-1,-1
1563436929,7/18/2019 8:2:9,2,19.89861,19.90868,866978,7,-1,-1
1563436932,7/18/2019 8:2:12,2,19.89609,19.90616,869978,8,-1,-1
1563436935,7/18/2019 8:2:15,2,19.86839,19.91875,872979,8,-1,-1
1563436938,7/18/2019 8:2:18,2,19.89609,19.9263,875978,8,-1,-1
1563436941,7/18/2019 8:2:21,2,19.87846,19.90868,878978,8,-1,-1
1563436944,7/18/2019 8:2:24,2,19.88602,19.90616,881978,8,-1,-1
1563436947,7/18/2019 8:2:27,2,19.8835,19.92378,884978,9,-1,-1
1563436950,7/18/2019 8:2:30,2,19.88602,19.89609,887979,9,-1,-1
1563436953,7/18/2019 8:2:33,2,19.89861,19.91875,890978,9,-1,-1
1563436956,7/18/2019 8:2:36,2,19.89105,19.89105,893978,9,-1,-1
1563436959,7/18/2019 8:2:39,2,19.89357,19.91875,896978,8,-1,-1
1563436962,7/18/2019 8:2:42,2,19.89609,19.89105,899978,8,-1,-1
1563436965,7/18/2019 8:2:45,2,19.88853,19.90868,902979,8,-1,-1
1563436968,7/18/2019 8:2:48,2,19.89105,19.90616,905978,8,-1,-1
1563436971,7/18/2019 8:2:51,2,19.90868,19.90364,908979,8,-1,-1
1563436974,7/18/2019 8:2:54,2,19.90616,19.90112,911978,8,-1,-1
1563436977,7/18/2019 8:2:57,2,19.87846,19.92378,914978,8,-1,-1
1563436980,7/18/2019 8:3:0,2,19.91119,19.90112,917979,7,-1,-1
1563436983,7/18/2019 8:3:3,2,19.87343,19.92378,920978,7,-1,-1
1563436986,7/18/2019 8:3:6,2,19.89609,19.91623,923978,6,-1,-1
1563436989,7/18/2019 8:3:9,2,19.89861,19.91371,926979,7,-1,-1
1563436992,7/18/2019 8:3:12,2,19.89105,19.90112,929978,7,-1,-1
1563436995,7/18/2019 8:3:15,2,19.88853,19.90868,932978,6,-1,-1
1563436998,7/18/2019 8:3:18,2,19.89105,19.91119,935979,8,-1,-1
1563437001,7/18/2019 8:3:21,2,19.88853,19.90364,938978,8,-1,-1
1563437004,7/18/2019 8:3:24,2,19.88602,19.90616,941978,8,-1,-1
1563437007,7/18/2019 8:3:27,2,19.88853,19.89357,944978,8,-1,-1
1563437010,7/18/2019 8:3:30,2,19.89609,19.90112,947979,8,-1,-1
1563437013,7/18/2019 8:3:33,2,19.89861,19.92378,950979,8,-1,-1
1563437016,7/18/2019 8:3:36,2,19.90112,19.91119,953978,7,-1,-1
1563437019,7/18/2019 8:3:39,2,19.89861,19.91371,956979,7,-1,-1
1563437022,7/18/2019 8:3:42,2,19.89609,19.91119,959978,9,-1,-1
1563437025,7/18/2019 8:3:45,2,19.89357,19.89861,962979,9,-1,-1
1563437028,7/18/2019 8:3:48,2,19.88098,19.90112,965978,9,-1,-1
1563437031,7/18/2019 8:3:51,2,19.89357,19.90364,968978,8,-1,-1
1563437034,7/18/2019 8:3:54,2,19.88098,19.92126,971978,8,-1,-1
1563437037,7/18/2019 8:3:57,2,19.88853,19.89861,974978,8,-1,-1
1563437040,7/18/2019 8:4:0,2,19.88602,19.89105,977978,8,-1,-1
1563437043,7/18/2019 8:4:3,2,19.8835,19.89357,980979,8,-1,-1
1563437046,7/18/2019 8:4:6,2,19.87595,19.88602,983978,8,-1,-1
1563437049,7/18/2019 8:4:9,2,19.8835,19.90868,986979,8,-1,-1
1563437052,7/18/2019 8:4:12,2,19.88098,19.87595,989978,7,-1,-1
1563437055,7/18/2019 8:4:15,2,19.8835,19.87343,992978,7,-1,-1
1563437058,7/18/2019 8:4:18,2,19.88602,19.89609,995978,7,-1,-1
1563437061,7/18/2019 8:4:21,2,19.87343,19.88853,998978,7,-1,-1
1563437064,7/18/2019 8:4:24,2,19.87091,19.89609,1001978,7,-1,-1
1563437067,7/18/2019 8:4:27,2,19.85329,19.89861,1004978,7,-1,-1
1563437070,7/18/2019 8:4:30,2,19.86084,19.86084,1007979,7,-1,-1
1563437073,7/18/2019 8:4:33,2,19.86839,19.87846,1010978,7,-1,-1
1563437076,7/18/2019 8:4:36,2,19.8558,19.87091,1013979,7,-1,-1
1563437079,7/18/2019 8:4:39,2,19.87343,19.89357,1016979,7,-1,-1
1563437082,7/18/2019 8:4:42,2,19.86588,19.89105,1019978,7,-1,-1
1563437085,7/18/2019 8:4:45,2,19.86336,19.87343,1022978,6,-1,-1
1563437088,7/18/2019 8:4:48,2,19.8407,19.90112,1025978,7,-1,-1
1563437091,7/18/2019 8:4:51,2,19.85329,19.86336,1028978,8,-1,-1
1563437094,7/18/2019 8:4:54,2,19.8558,19.87091,1031979,8,-1,-1
1563437097,7/18/2019 8:4:57,2,19.85329,19.88853,1034979,8,-1,-1
1563437100,7/18/2019 8:5:0,2,19.8558,19.86588,1037978,8,-1,-1
1563437103,7/18/2019 8:5:3,2,19.84825,19.85832,1040978,8,-1,-1
1563437106,7/18/2019 8:5:6,2,19.86084,19.87091,1043978,8,-1,-1
1563437109,7/18/2019 8:5:9,2,19.84825,19.86839,1046979,7,-1,-1
1563437112,7/18/2019 8:5:12,2,19.85077,19.87595,1049978,8,-1,-1
1563437115,7/18/2019 8:5:15,2,19.85832,19.87343,1052978,8,-1,-1
1563437118,7/18/2019 8:5:18,2,19.83566,19.86084,1055979,9,-1,-1
1563437121,7/18/2019 8:5:21,2,19.85832,19.86839,1058978,8,-1,-1
1563437124,7/18/2019 8:5:24,2,19.86084,19.86588,1061978,8,-1,-1
1563437127,7/18/2019 8:5:27,2,19.84825,19.85329,1064978,8,-1,-1
1563437130,7/18/2019 8:5:30,2,19.83566,19.85077,1067978,8,-1,-1
1563437133,7/18/2019 8:5:33,2,19.84825,19.86336,1070979,8,-1,-1
1563437136,7/18/2019 8:5:36,2,19.83566,19.86084,1073978,8,-1,-1
1563437139,7/18/2019 8:5:39,2,19.84825,19.84825,1076979,8,-1,-1
1563437142,7/18/2019 8:5:42,2,19.83063,19.85077,1079978,8,-1,-1
1563437145,7/18/2019 8:5:45,2,19.83315,19.84825,1082979,8,-1,-1
1563437148,7/18/2019 8:5:48,2,19.83063,19.84573,1085979,8,-1,-1
1563437151,7/18/2019 8:5:51,2,19.83315,19.85329,1088979,8,-1,-1
1563437154,7/18/2019 8:5:54,2,19.8407,19.84573,1091978,8,-1,-1
1563437157,7/18/2019 8:5:57,2,19.84322,19.85329,1094978,8,-1,-1
1563437160,7/18/2019 8:6:0,2,19.83566,19.8558,1097979,8,-1,-1
1563437163,7/18/2019 8:6:3,2,19.83818,19.84322,1100979,8,-1,-1
1563437166,7/18/2019 8:6:6,2,19.8407,19.86084,1103978,8,-1,-1
1563437169,7/18/2019 8:6:9,2,19.82307,19.85832,1106978,8,-1,-1
1563437172,7/18/2019 8:6:12,2,19.82559,19.8558,1109978,8,-1,-1
1563437175,7/18/2019 8:6:15,2,19.82307,19.84322,1112978,7,-1,-1
1563437178,7/18/2019 8:6:18,2,19.82559,19.84573,1115978,7,-1,-1
1563437181,7/18/2019 8:6:21,2,19.83818,19.85832,1118978,7,-1,-1
1563437184,7/18/2019 8:6:24,2,19.81049,19.83063,1121979,7,-1,-1
1563437187,7/18/2019 8:6:27,2,19.80797,19.85329,1124978,6,-1,-1
1563437190,7/18/2019 8:6:30,2,19.83063,19.8407,1127979,6,-1,-1
1563437193,7/18/2019 8:6:33,2,19.82307,19.84825,1130978,7,-1,-1
1563437196,7/18/2019 8:6:36,2,19.82056,19.83063,1133979,7,-1,-1
1563437199,7/18/2019 8:6:39,2,19.81804,19.83315,1136978,7,-1,-1
1563437202,7/18/2019 8:6:42,2,19.81552,19.83566,1139978,7,-1,-1
1563437205,7/18/2019 8:6:45,2,19.81804,19.83818,1142978,8,-1,-1
1563437208,7/18/2019 8:6:48,2,19.80545,19.82559,1145978,8,-1,-1
1563437211,7/18/2019 8:6:51,2,19.82307,19.83315,1148978,8,-1,-1
1563437214,7/18/2019 8:6:54,2,19.81552,19.83566,1151979,8,-1,-1
1563437217,7/18/2019 8:6:57,2,19.82307,19.83315,1154978,8,-1,-1
1563437220,7/18/2019 8:7:0,2,19.82056,19.8407,1157979,8,-1,-1
