unix_timestamp,human_timestamp,nodeID,tc1,tc2,millisSinceHeatPulse,soilMoisture,outsideTemp,outsideHumidity
1563433399,7/18/2019 7:3:19,1,20.43488,20.50537,936000,0,-1,-1
1563433402,7/18/2019 7:3:22,1,20.42732,20.50285,939000,0,-1,-1
1563433405,7/18/2019 7:3:25,1,20.42984,20.51041,942000,0,-1,-1
1563433408,7/18/2019 7:3:28,1,20.42732,20.49278,945000,1,-1,-1
1563433411,7/18/2019 7:3:31,1,20.42984,20.4953,948001,1,-1,-1
1563433414,7/18/2019 7:3:34,1,20.43236,20.49782,951001,1,-1,-1
1563433417,7/18/2019 7:3:37,1,20.43991,20.50537,954000,1,-1,-1
1563433420,7/18/2019 7:3:40,1,20.43236,20.49278,957000,0,-1,-1
1563433423,7/18/2019 7:3:43,1,20.4248,20.4953,960000,0,-1,-1
1563433426,7/18/2019 7:3:46,1,20.42732,20.49782,963000,0,-1,-1
1563433429,7/18/2019 7:3:49,1,20.41977,20.50034,966000,0,-1,-1
1563433432,7/18/2019 7:3:52,1,20.41222,20.49782,969001,0,-1,-1
1563433435,7/18/2019 7:3:55,1,20.42984,20.49026,972000,0,-1,-1
1563433438,7/18/2019 7:3:58,1,20.42732,20.50285,975000,0,-1,-1
1563433441,7/18/2019 7:4:1,1,20.41473,20.4953,978000,0,-1,-1
1563433444,7/18/2019 7:4:4,1,20.43236,20.50789,981000,0,-1,-1
1563433447,7/18/2019 7:4:7,1,20.41977,20.4953,984001,0,-1,-1
1563433450,7/18/2019 7:4:10,1,20.42229,20.49782,987001,0,-1,-1
1563433453,7/18/2019 7:4:13,1,20.41977,20.4953,990000,0,-1,-1
1563433456,7/18/2019 7:4:16,1,20.43739,20.50285,993001,0,-1,-1
1563433459,7/18/2019 7:4:19,1,20.4248,20.4953,996000,0,-1,-1
1563433462,7/18/2019 7:4:22,1,20.41222,20.49278,999001,0,-1,-1
1563433465,7/18/2019 7:4:25,1,20.43488,20.48523,1002000,0,-1,-1
1563433468,7/18/2019 7:4:28,1,20.41725,20.48775,1005001,0,-1,-1
1563433471,7/18/2019 7:4:31,1,20.41977,20.48523,1008000,0,-1,-1
1563433474,7/18/2019 7:4:34,1,20.41222,20.49278,1011000,0,-1,-1
1563433477,7/18/2019 7:4:37,1,20.4248,20.49026,1014000,0,-1,-1
1563433480,7/18/2019 7:4:40,1,20.42229,20.48775,1017000,0,-1,-1
1563433483,7/18/2019 7:4:43,1,20.41473,20.48523,1020000,0,-1,-1
1563433486,7/18/2019 7:4:46,1,20.40718,20.48775,1023000,1,-1,-1
1563433489,7/18/2019 7:4:49,1,20.41473,20.48523,1026001,0,-1,-1
1563433492,7/18/2019 7:4:52,1,20.40718,20.47264,1029001,1,-1,-1
1563433495,7/18/2019 7:4:55,1,20.4097,20.48019,1032001,1,-1,-1
1563433498,7/18/2019 7:4:58,1,20.41725,20.47264,1035000,1,-1,-1
1563433501,7/18/2019 7:5:1,1,20.39963,20.48019,1038001,1,-1,-1
1563433504,7/18/2019 7:5:4,1,20.41222,20.49278,1041000,1,-1,-1
1563433507,7/18/2019 7:5:7,1,20.41977,20.49026,1044000,1,-1,-1
1563433510,7/18/2019 7:5:10,1,20.42229,20.48271,1047001,1,-1,-1
1563433513,7/18/2019 7:5:13,1,20.4097,20.48019,1050000,0,-1,-1
1563433516,7/18/2019 7:5:16,1,20.40718,20.48271,1053001,0,-1,-1
1563433519,7/18/2019 7:5:19,1,20.41977,20.49026,1056000,0,-1,-1
1563433522,7/18/2019 7:5:22,1,20.41725,20.48271,1059000,0,-1,-1
1563433525,7/18/2019 7:5:25,1,20.40466,20.47012,1062000,0,-1,-1
1563433528,7/18/2019 7:5:28,1,20.40718,20.48271,1065001,0,-1,-1
1563433531,7/18/2019 7:5:31,1,20.4248,20.48523,1068001,0,-1,-1
1563433534,7/18/2019 7:5:34,1,20.41222,20.46761,1071000,0,-1,-1
1563433537,7/18/2019 7:5:37,1,20.4097,20.4953,1074001,0,-1,-1
1563433540,7/18/2019 7:5:40,1,20.40718,20.47768,1077000,0,-1,-1
1563433543,7/18/2019 7:5:43,1,20.41473,20.47012,1080001,0,-1,-1
1563433546,7/18/2019 7:5:46,1,20.42229,20.48271,1083001,0,-1,-1
1563433549,7/18/2019 7:5:49,1,20.39459,20.50034,1086000,0,-1,-1
1563433552,7/18/2019 7:5:52,1,20.41725,20.48775,1089000,0,-1,-1
1563433555,7/18/2019 7:5:55,1,20.4097,20.48019,1092000,0,-1,-1
1563433558,7/18/2019 7:5:58,1,20.41725,20.46761,1095000,0,-1,-1
1563433561,7/18/2019 7:6:1,1,20.39459,20.47516,1098000,0,-1,-1
1563433564,7/18/2019 7:6:4,1,20.41725,20.47768,1101000,0,-1,-1
1563433567,7/18/2019 7:6:7,1,20.41473,20.47012,1104000,0,-1,-1
1563433570,7/18/2019 7:6:10,1,20.40718,20.48271,1107000,0,-1,-1
1563433573,7/18/2019 7:6:13,1,20.39459,20.48523,1110000,0,-1,-1
1563433576,7/18/2019 7:6:16,1,20.40718,20.48271,1113001,0,-1,-1
1563433579,7/18/2019 7:6:19,1,20.4097,20.47012,1116000,0,-1,-1
1563433582,7/18/2019 7:6:22,1,20.40215,20.48271,1119001,0,-1,-1
1563433585,7/18/2019 7:6:25,1,20.40466,20.48019,1122001,0,-1,-1
1563433588,7/18/2019 7:6:28,1,20.40215,20.47264,1125001,1,-1,-1
1563433591,7/18/2019 7:6:31,1,20.40466,20.48019,1128000,1,-1,-1
1563433594,7/18/2019 7:6:34,1,20.39711,20.48775,1131001,1,-1,-1
1563433597,7/18/2019 7:6:37,1,20.38956,20.47012,1134001,1,-1,-1
1563433600,7/18/2019 7:6:40,1,20.40215,20.47264,1137000,1,-1,-1
1563433603,7/18/2019 7:6:43,1,20.39459,20.48523,1140001,1,-1,-1
1563433606,7/18/2019 7:6:46,1,20.40215,20.47768,1143001,1,-1,-1
1563433609,7/18/2019 7:6:49,1,20.4097,20.46509,1146000,1,-1,-1
1563433612,7/18/2019 7:6:52,1,20.40215,20.47768,1149000,1,-1,-1
1563433615,7/18/2019 7:6:55,1,20.38956,20.47516,1152001,1,-1,-1
1563433618,7/18/2019 7:6:58,1,20.39711,20.47264,1155000,1,-1,-1
1563433621,7/18/2019 7:7:1,1,20.39459,20.47012,1158001,1,-1,-1
1563433624,7/18/2019 7:7:4,1,20.39711,20.47264,1161000,1,-1,-1
1563433627,7/18/2019 7:7:7,1,20.40466,20.46509,1164001,0,-1,-1
1563433630,7/18/2019 7:7:10,1,20.39711,20.46257,1167000,0,-1,-1
1563433633,7/18/2019 7:7:13,1,20.39459,20.46005,1170001,0,-1,-1
1563433636,7/18/2019 7:7:16,1,20.382,20.47264,1173001,0,-1,-1
1563433639,7/18/2019 7:7:19,1,20.38956,20.45502,1176001,0,-1,-1
1563433642,7/18/2019 7:7:22,1,20.39207,20.47264,1179001,0,-1,-1
